Oceanographic setting,Sanctuary,FQstart,FQend,Xoffset,Label,Color,Size
Nearshore,MB,125,125,37,Ship Noise,orange,3
Nearshore,MB,40,40,13,Ocean Noise,orange,3
Nearshore,MB,350,350,120,Humpback,blue,3
Nearshore,MB,400,400,150,fish chorus,blue,3
Nearshore,MB,10000,10000,500,Snapping Shrimp,blue,3
Offshore,CB,125,125,13,Ship Noise-mid,,
Offshore,CB,63,63,13,Ship Noise-low,orange,3
Offshore,CB,40,40,13,Ocean Noise,orange,3
Offshore,CB,20,20,13,Fin Whale,blue,3
Offshore,CB,45,45,13,Blue Whale,blue,3
Offshore,CB,500,500,120,Humpback,blue,3
