Lower,Upper,Center,Bandwidth,
11.2,14.1,12.5,2.9,
14.1,17.8,16,3.7,
17.8,22.4,20,4.6,
22.4,28.2,25,5.8,
28.2,35.5,31.5,7.3,
35.5,44.7,40,9.2,
44.7,56.2,50,11.5,
56.2,70.8,63,14.6,
70.8,89.1,80,18.3,
89.1,112,100,22.9,
112,141,125,29,
141,178,160,37,
178,224,200,46,
224,282,250,58,
282,355,315,73,
355,447,400,92,
447,562,500,115,
562,708,630,146,
708,891,800,183,
891,1122,1000,231,
1122,1413,1250,291,
1413,1778,1600,365,
1778,2239,2000,461,
2239,2818,2500,579,
2818,3548,3150,730,
3548,4467,4000,919,
4467,5623,5000,1156,
5623,7079,6300,1456,
7079,8913,8000,1834,
8913,11220,10000,2307,
11220,14130,12500,2910,
14130,17780,16000,3650,
17780,22390,20000,4610,
