"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","Season","seasonYr","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"7079",2019-09-26,77.655423,76.022372,77.030838,78.811074,78.205862,76.441366,75.390479,76.008095,76.651207,77.872872,78.588302,79.498158,80.95485,80.414605,79.393799,78.947018,78.403871,77.865601,77.676951,77.810797,77.180464,77.281186,77.367462,76.755298,76.109654,75.892557,75.517007,75.2611,74.454832,72.404295,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.43358898162842,1.67537105083466,0,238,36.75,2019-09-26,4.73957586878739,2019-09-26
"7080",2019-09-26 01:00:00,77.523779,76.093735,77.267009,78.499464,78.012158,76.165939,75.502686,74.610135,76.71152,77.137196,76.842034,78.35437,81.169196,81.949714,80.143856,79.453854,78.943376,78.671527,78.635242,78.766444,78.109242,78.235986,78.151065,77.577248,76.878646,76.60928,76.19203,75.878225,74.978477,72.769323,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",4.43358898162842,1.67537105083466,0,238,36.75,2019-09-26,4.73957586878739,2019-09-26
"7081",2019-09-26 02:00:00,79.017486,76.36139,77.210746,78.582654,78.029622,76.735408,76.433804,78.724605,89.074564,90.4247,85.209408,84.614125,86.125158,86.126627,82.707551,79.675994,75.257929,72.732122,71.351017,72.78361,73.257529,73.572123,73.920164,73.308858,72.302521,72.205046,72.357798,72.393985,72.152846,70.887158,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.78468012809753,1.79636716842651,0,238,36.75,2019-09-26 01:30:00,2.53219631218176,2019-09-26
"7082",2019-09-26 03:00:00,80.032539,78.20931,78.614494,79.244227,78.313502,79.213038,77.218132,76.881024,82.438867,83.895341,79.352145,79.006,80.319068,79.741544,76.524303,73.45467,71.148725,71.209636,71.983561,72.664599,72.643679,72.673926,72.83631,72.288581,71.409644,71.462215,71.725781,71.971435,71.899074,70.782274,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.78468012809753,1.79636716842651,0,238,36.75,2019-09-26 01:30:00,2.53219631218176,2019-09-26
"7083",2019-09-26 04:00:00,80.31785,82.827139,84.348947,83.756213,82.888042,81.978103,77.652909,75.935867,79.008235,79.870817,76.602098,76.840694,78.505189,77.845385,74.506689,71.586152,69.993717,70.35552,70.98873,71.571646,71.494627,71.767734,72.158953,71.768549,71.03897,71.202872,71.627098,71.914951,71.877197,70.772962,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.78468012809753,1.79636716842651,0,238,36.75,2019-09-26 01:30:00,2.53219631218176,2019-09-26
"7084",2019-09-26 05:00:00,79.39247,77.524886,78.36509,79.033568,77.389101,76.316417,75.3082,73.991638,77.207308,78.247806,75.353586,75.60154,77.789514,76.725594,73.397208,70.720889,69.549169,70.118001,70.906973,71.320801,71.276376,71.386132,71.632533,71.387311,70.935822,71.192921,71.631718,71.919983,71.867909,70.770379,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",0.615332007408142,2.23271250724792,0,238,36.75,2019-09-26 06:00:00,2.31595306933501,2019-09-26
"7085",2019-09-26 06:00:00,78.476918,76.057055,77.466939,79.176571,77.551299,76.267509,75.093478,74.105266,77.102588,77.79705,74.804946,75.008984,78.203454,75.866572,72.733806,70.578318,69.478993,70.284101,71.366682,71.443942,71.164446,71.444043,71.505235,71.191776,70.800527,71.165889,71.621795,71.919901,71.886954,70.7636,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",0.615332007408142,2.23271250724792,0,238,36.75,2019-09-26 06:00:00,2.31595306933501,2019-09-26
"7086",2019-09-26 07:00:00,76.731847,75.827005,78.004496,80.3131,78.880819,77.611067,76.082277,74.720553,77.781042,78.202586,75.160664,75.099301,77.257581,75.542824,72.359921,69.997127,68.865101,69.324751,70.507992,70.563314,70.516973,70.906604,70.852422,70.712129,70.56189,71.067518,71.593843,71.886906,71.844728,70.748988,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",0.615332007408142,2.23271250724792,0,238,36.75,2019-09-26 06:00:00,2.31595306933501,2019-09-26
"7087",2019-09-26 08:00:00,78.36962,79.268363,83.097982,86.091114,84.656927,83.007441,81.336438,78.653064,79.123984,78.96601,75.943277,76.435269,84.245385,76.552465,73.402388,71.126303,69.520068,69.275355,69.924874,70.090932,70.068449,70.530565,70.632824,70.539045,70.540221,71.092254,71.580424,71.870882,71.831827,70.74349,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",2.60464596748352,3.99702143669128,0,238,36.75,2019-09-26 07:30:00,4.77078200940871,2019-09-26
"7088",2019-09-26 09:00:00,77.859145,76.104223,77.306848,78.469989,77.394372,77.133852,76.180383,75.064217,78.274932,79.063566,76.334552,76.236133,77.3211,76.251958,74.289303,72.521906,71.365008,70.99742,71.303263,71.447803,71.23732,71.750075,71.694088,71.524807,71.308504,71.676159,71.963603,72.12679,72.013319,70.841386,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",2.60464596748352,3.99702143669128,0,238,36.75,2019-09-26 07:30:00,4.77078200940871,2019-09-26
