"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","Season","seasonYr","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"1448",2019-01-15,78.011559,77.82544,77.479352,77.469536,76.570495,76.519565,76.496076,78.653406,82.382341,85.262776,87.877144,89.230263,88.937359,88.132745,87.903159,84.901058,81.700751,80.785657,80.226451,79.461098,79.411638,80.126069,80.030913,78.727133,79.210562,78.884283,78.468181,78.254054,77.786261,77.484444,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1449",2019-01-15 01:00:00,77.974373,77.784386,78.086041,79.520856,78.282225,77.573798,78.210917,80.82893,85.38706,88.535705,90.53501,91.581103,91.036333,89.999569,89.233709,85.872076,83.560661,83.209881,82.686081,81.949922,82.134995,83.034485,83.136313,81.407365,81.692348,81.190317,80.683839,80.393499,79.789669,79.686947,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1450",2019-01-15 02:00:00,78.881387,79.583315,80.448613,81.953098,81.052565,79.073648,78.997007,81.742069,86.224524,89.456999,91.145179,91.928469,91.039322,89.558973,87.980372,83.645067,80.782845,80.542698,80.545597,80.440299,81.012637,82.169266,82.301768,80.719798,81.05531,80.589733,80.121435,79.860762,79.304108,78.969686,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-3.37198734283447,3.81846690177917,4.8999998398358e-05,238,36.75,2019-01-15 01:30:00,5.09421123631706,2019-01-15
"1451",2019-01-15 03:00:00,80.75307,83.074694,84.091108,85.701484,84.326724,80.886118,78.89376,80.612254,84.463557,87.3336,89.51949,90.424722,89.796017,88.15428,86.394984,81.973089,79.255165,79.901778,80.413652,81.340003,82.344508,83.49754,83.481283,81.831742,82.253148,81.812974,81.296844,81.019188,80.401661,79.997263,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-3.37198734283447,3.81846690177917,4.8999998398358e-05,238,36.75,2019-01-15 01:30:00,5.09421123631706,2019-01-15
"1452",2019-01-15 04:00:00,78.055227,78.587623,79.09909,79.764944,78.833833,77.654283,77.58352,78.890048,82.303631,85.180303,86.996891,87.990523,87.81211,86.235551,84.408771,80.596236,78.63471,80.428547,81.481319,81.798859,82.309249,83.346099,83.29952,81.671925,82.086025,81.627829,81.10476,80.842904,80.22912,79.828182,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-3.37198734283447,3.81846690177917,4.8999998398358e-05,238,36.75,2019-01-15 01:30:00,5.09421123631706,2019-01-15
"1453",2019-01-15 05:00:00,77.934804,78.488702,78.77441,79.894894,79.58351,78.767385,78.830706,79.719893,82.219728,84.512739,85.834135,86.711958,86.999212,86.67793,86.222733,84.452992,82.683198,83.763046,84.493846,84.803789,85.436047,86.587174,86.553334,84.815973,85.172675,84.687456,84.09919,83.795743,83.094205,82.562462,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1454",2019-01-15 06:00:00,77.707541,77.948766,78.199394,79.123101,79.056367,79.160224,79.342969,80.135867,82.149537,84.190261,84.950799,85.638704,86.274947,86.670001,86.945202,86.736672,85.994314,84.67517,85.00558,85.348018,85.949588,87.013378,86.911956,85.138796,85.461989,84.956267,84.37539,84.036762,83.300528,82.733916,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1455",2019-01-15 07:00:00,77.267406,77.389801,78.14163,79.120887,79.269442,79.601125,80.161651,81.125524,82.903373,84.82062,85.572224,86.079743,86.792225,87.478538,87.96889,87.917482,86.942749,85.902767,86.770299,87.092017,87.596923,88.438265,88.150388,86.267398,86.588808,85.999465,85.373241,85.042595,84.243684,83.630682,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1456",2019-01-15 08:00:00,77.32334,77.654901,78.520438,79.930122,79.425647,79.812425,80.280397,81.27801,82.881323,84.75064,85.520478,86.096468,86.689323,87.540385,88.044488,88.107552,87.322503,86.689178,87.225835,87.313826,87.931521,88.989369,88.973612,87.2436,87.5192,86.920971,86.217528,85.903193,85.586934,85.398401,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-5.295654296875,2.75967526435852,0,238,36.75,2019-01-15 07:30:00,5.97157952276639,2019-01-15
"1457",2019-01-15 09:00:00,76.90576,77.001389,77.515713,78.127908,77.85729,77.849725,78.246592,79.125774,80.864517,83.162685,83.241089,83.668013,84.473973,85.243805,85.762923,85.748594,85.109187,84.55851,84.892839,84.921699,85.357738,86.21144,86.069816,84.298583,84.620109,84.088484,83.519177,83.172653,82.488241,81.968066,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-5.295654296875,2.75967526435852,0,238,36.75,2019-01-15 07:30:00,5.97157952276639,2019-01-15
"1458",2019-01-15 10:00:00,77.377419,78.267563,79.384974,80.240022,79.962424,80.012705,80.182084,80.820798,82.374887,84.54547,84.901953,85.29394,86.061006,86.974859,87.549313,87.657009,87.340507,86.763624,87.099671,87.060776,87.422699,88.393085,88.263563,86.399133,86.621909,86.008987,85.383473,85.025157,84.404348,84.382039,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-5.295654296875,2.75967526435852,0,238,36.75,2019-01-15 07:30:00,5.97157952276639,2019-01-15
"1459",2019-01-15 11:00:00,77.159468,78.657655,79.867155,80.817536,81.098415,81.660934,82.118965,82.904691,84.299693,86.172183,86.712385,87.134546,87.819768,88.766857,89.364924,89.577168,89.512696,89.165232,89.349677,89.19982,89.405835,90.081229,89.741128,87.773858,87.9479,87.303947,86.629292,86.184452,85.308274,84.496285,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1460",2019-01-15 12:00:00,77.077678,78.480878,80.120772,81.051852,81.310576,82.085293,82.619424,83.202905,84.586107,86.519784,87.017685,87.441153,88.161011,89.126048,89.716855,89.995388,90.006696,89.687328,89.859768,89.714865,89.904477,90.62885,90.372168,88.464434,88.656113,87.984523,87.24411,86.733573,85.860708,85.153006,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1461",2019-01-15 13:00:00,77.176407,78.526531,79.973362,81.561576,80.908072,81.012307,81.534134,81.819978,83.394909,85.462418,85.76195,86.1068,86.812143,87.731544,88.386683,88.710252,88.777234,88.50172,88.653875,88.528191,88.704354,89.427225,89.294087,87.554221,87.881162,87.255478,86.540899,86.256536,86.029975,85.995181,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1462",2019-01-15 14:00:00,77.691914,78.528281,80.653682,84.963586,83.883698,82.649003,82.323876,82.9018,84.301048,86.202094,86.84058,87.290304,88.063642,89.056206,89.849002,90.213168,90.357882,90.117474,90.280357,90.161951,90.318644,91.025556,90.889228,89.102244,89.348363,88.647605,87.816095,87.256812,86.542894,86.188685,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-5.72471904754639,1.39186763763428,0.000157999995280989,238,36.75,2019-01-15 13:30:00,5.89149418178734,2019-01-15
"1463",2019-01-15 15:00:00,77.751601,78.944534,80.501725,82.861711,83.037894,83.134876,83.12484,83.753847,84.910879,86.230969,87.39981,87.919951,88.786485,89.848697,90.646212,91.103041,91.337901,91.118037,91.325375,91.224243,91.534747,92.368411,92.422073,90.825895,91.213004,90.541602,89.64642,89.030806,88.226949,87.787628,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-5.72471904754639,1.39186763763428,0.000157999995280989,238,36.75,2019-01-15 13:30:00,5.89149418178734,2019-01-15
"1464",2019-01-15 16:00:00,78.193318,79.204869,80.607996,81.957211,82.444108,82.633935,82.372069,82.963837,84.197363,85.512285,86.666489,87.2482,88.133765,89.164467,89.91351,90.329821,90.529716,90.287835,90.400729,90.214337,90.425442,91.196259,91.119008,89.403852,89.71958,89.008821,88.133823,87.587092,86.987353,86.759975,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-5.72471904754639,1.39186763763428,0.000157999995280989,238,36.75,2019-01-15 13:30:00,5.89149418178734,2019-01-15
"1465",2019-01-15 17:00:00,79.657891,81.827194,83.570643,84.134975,84.837254,84.003143,83.340638,83.937612,85.011868,86.306953,87.482537,88.009313,88.908697,89.946796,90.707344,91.157084,91.365769,91.149526,91.306384,91.150358,91.39341,92.20322,92.221858,90.540742,90.842196,90.100289,89.149686,88.465579,87.585128,87.115081,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1466",2019-01-15 18:00:00,79.243076,80.769557,82.204994,83.4785,83.560368,84.326871,84.218978,84.540653,85.478972,86.817955,87.93821,88.435201,89.281715,90.277907,90.970415,91.382336,91.548394,91.307396,91.424154,91.217167,91.429352,92.230416,92.13379,90.405239,90.632124,89.850917,88.871525,88.120712,87.07453,86.39198,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1467",2019-01-15 19:00:00,87.324228,90.065803,92.584265,93.527922,89.750372,87.331973,85.733183,85.02674,85.445613,86.572998,87.709253,88.156584,88.942076,89.878098,90.474953,90.815037,90.941306,90.620181,90.681704,90.417605,90.542754,91.246771,90.969708,89.014258,89.157043,88.42548,87.612943,87.081689,86.157202,85.35193,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",NA,NA,NA,NA,NA,NA,NA,2019-01-15
"1468",2019-01-15 20:00:00,80.218988,81.603667,83.662913,85.974981,85.070597,84.219761,84.132072,84.525188,85.467452,86.832747,88.03125,88.61739,89.467984,90.484253,91.181703,91.594913,91.833045,91.604136,91.758861,91.623806,91.861024,92.696549,92.672627,91.013317,91.305311,90.601557,89.637638,88.879434,87.851228,87.193093,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-6.46821308135986,1.24812984466553,0.00106299994513392,238,36.75,2019-01-15 19:30:00,6.58753433198034,2019-01-15
"1469",2019-01-15 21:00:00,78.927405,79.546831,80.916418,82.635171,83.104039,83.518416,83.837714,84.27728,85.260562,86.735229,88.070202,88.668749,89.526579,90.551183,91.236232,91.655167,91.923205,91.733139,91.877934,91.715608,91.956219,92.786149,92.853547,91.319346,91.726409,91.18238,90.526361,90.419284,90.060372,89.612149,"mb01",2019,1,36.798,-121.976,"winter","winter-2019",-6.46821308135986,1.24812984466553,0.00106299994513392,238,36.75,2019-01-15 19:30:00,6.58753433198034,2019-01-15
