"","Site","TotalDays","Start Date","Latitude","Longitude","Project"
"1","nrs_01",2590,2014-10-14,"72.4430","-156.5517","NRS"
"2","nrs_02",1482,2018-07-20,"50.2","-145.09797","NRS"
"3","nrs_03",1931,2014-10-01,"47.7651","-125.5222","NRS"
"4","nrs_04",1855,2015-07-20,"22.33","-157.667","NRS"
"5","nrs_05",2212,2015-11-12,"33.8979","-119.545","NRS"
"6","nrs_06",2948,2014-08-01,"28.0062","-86.83","NRS"
"7","nrs_07",741,2019-06-17,"29.33","-78.02","NRS"
"8","nrs_08",1013,2014-05-23,"39.0103","-66.2499","NRS"
"9","nrs_09",2701,2014-10-21,"42.40319","-70.12","NRS"
"10","nrs_10",1453,2015-06-15,"-14.2686","-170.7196","NRS"
"11","nrs_11",1433,2015-10-18,"37.88","-123.45","NRS"
"12","nrs_12",2026,2016-11-16,"17.79","-64.65","NRS"
