"","Region","Sanctuary","Site","TotalDays","StartDate","Latitude","Longitude"
"1","Pacific Islands","AS","as01",71,2023-03-17,"-14.36565","-170.76308"
"2","West Coast","CI","ci01",719,2021-03-05,"34.043348000000002","-120.080202"
"5","West Coast","CI","ci04",803,2018-11-01,"33.848534000000001","-120.113567"
"7","East Coast","FGB","fgb01",234,2023-05-04,"28.1661","-94.296499999999995"
"8","East Coast","FK","fk01",648,2018-12-18,"24.43149","-81.930269999999993"
"12","East Coast","GR","gr01",1246,2018-12-13,"31.396419999999999","-80.8904"
"15","Pacific Islands","HI","hi01",887,2018-11-29,"20.806139999999999","-156.65530999999999"
"16","Pacific Islands","HI","hi03",718,2018-11-08,"21.28567","-157.59983"
"17","Pacific Islands","HI","hi04",920,2018-11-24,"22.263470000000002","-159.58637999999999"
"20","Pacific Islands","HI","hi08",322,2023-01-08,"20.078659999999999","-155.87262999999999"
"21","West Coast","MB","mb01",1351,2018-11-15,"36.798000000000002","-121.976"
"22","West Coast","MB","mb02",600,2019-12-21,"36.648000000000003","-121.908"
"23","West Coast","MB","mb03",2315,2018-11-15,"36.3703","-122.31480000000001"
"25","West Coast","OC","oc02",1066,2019-03-08,"48.49033","-125.003737"
"28","Pacific Islands","PM","pm01",624,2020-03-31,"22.662410000000001","-161.04201"
"29","Pacific Islands","PM","pm02",805,2019-10-01,"23.757940000000001","-166.33466999999999"
"31","East Coast","SB","sb01",1499,2018-11-12,"42.438549999999999","-70.5458"
"33","East Coast","SB","sb03",1306,2018-11-12,"42.255569999999999","-70.178799999999995"
