"","Site","total_days","min_start_date","Region","Latitude","Longitude"
"1","as01",71,2023-03-17,"Pacific Islands","-14.36565","-170.76308"
"2","ci01",1312,2018-10-31,"West Coast","34.043348000000002","-120.080202"
"3","ci04",1327,2018-11-01,"West Coast","33.848534000000001","-120.113567"
"4","fgb01",234,2023-05-04,"East Coast","28.1661","-94.296499999999995"
"5","fk01",1153,2018-12-18,"East Coast","24.43149","-81.930269999999993"
"6","fk05",633,2023-03-14,"East Coast","24.45778","-81.843369999999993"
"7","fk06",126,2024-05-15,"East Coast","24.452960000000001","-81.857519999999994"
"8","fk07",243,2024-05-15,"East Coast","24.450320000000001","-81.878240000000005"
"9","gr01",1587,2018-12-13,"East Coast","31.396419999999999","-80.8904"
"10","hi01",887,2018-11-29,"Pacific Islands","20.806139999999999","-156.65530999999999"
"11","hi03",718,2018-11-08,"Pacific Islands","21.28567","-157.59983"
"12","hi04",920,2018-11-24,"Pacific Islands","22.263470000000002","-159.58637999999999"
"13","hi08",322,2023-01-08,"Pacific Islands","20.078659999999999","-155.87262999999999"
"14","mb01",1351,2018-11-15,"West Coast","36.798000000000002","-121.976"
"15","mb02",1647,2018-11-15,"West Coast","36.648000000000003","-121.908"
"16","mb03",4257,2018-11-15,"West Coast","36.3703","-122.31480000000001"
"17","oc02",1348,2019-03-08,"West Coast","48.49033","-125.003737"
"18","pm01",624,2020-03-31,"Pacific Islands","22.662410000000001","-161.04201"
"19","pm02",805,2019-10-01,"Pacific Islands","23.757940000000001","-166.33466999999999"
"20","sb01",2202,2018-11-12,"East Coast","42.438549999999999","-70.5458"
"21","sb03",1775,2018-11-12,"East Coast","42.255569999999999","-70.178799999999995"
